Protein_ID	gene
evm.model.Ap11.324	evm.TU.Ap11.324
evm.model.Ap11.327	evm.TU.Ap11.327
evm.model.Ap11.326	evm.TU.Ap11.326
evm.model.Ap11.326.1.5f15dbde	evm.TU.Ap11.326.1.5f15dbde
evm.model.Ap11.329	evm.TU.Ap11.329
evm.model.Ap11.774	evm.TU.Ap11.774
evm.model.Ap11.774.1.5f15dc55	evm.TU.Ap11.774.1.5f15dc55
evm.model.Ap11.428	evm.TU.Ap11.428
evm.model.Ap11.429	evm.TU.Ap11.429
evm.model.Ap11.1598	evm.TU.Ap11.1598
evm.model.Ap11.1599	evm.TU.Ap11.1599
evm.model.Ap11.1590	evm.TU.Ap11.1590
evm.model.Ap11.1591	evm.TU.Ap11.1591
evm.model.Ap11.1592	evm.TU.Ap11.1592
evm.model.Ap11.1593	evm.TU.Ap11.1593
evm.model.Ap11.1594	evm.TU.Ap11.1594
evm.model.Ap11.1595	evm.TU.Ap11.1595
evm.model.Ap11.1596	evm.TU.Ap11.1596
evm.model.Ap11.1597	evm.TU.Ap11.1597
evm.model.Ap11.1626	evm.TU.Ap11.1626
evm.model.Ap11.1624	evm.TU.Ap11.1624
evm.model.Ap11.1625	evm.TU.Ap11.1625
evm.model.Ap11.1622	evm.TU.Ap11.1622
evm.model.Ap11.1623	evm.TU.Ap11.1623
evm.model.Ap11.1234	evm.TU.Ap11.1234
evm.model.Ap11.1237	evm.TU.Ap11.1237
evm.model.Ap11.1236	evm.TU.Ap11.1236
evm.model.Ap11.1231	evm.TU.Ap11.1231
evm.model.Ap11.1230	evm.TU.Ap11.1230
evm.model.Ap11.1233	evm.TU.Ap11.1233
evm.model.Ap11.1239	evm.TU.Ap11.1239
evm.model.Ap11.620	evm.TU.Ap11.620
evm.model.Ap11.621	evm.TU.Ap11.621
evm.model.Ap11.622	evm.TU.Ap11.622
evm.model.Ap11.623	evm.TU.Ap11.623
evm.model.Ap11.624	evm.TU.Ap11.624
evm.model.Ap11.625	evm.TU.Ap11.625
evm.model.Ap11.626	evm.TU.Ap11.626
evm.model.Ap11.627	evm.TU.Ap11.627
evm.model.Ap11.628	evm.TU.Ap11.628
evm.model.Ap11.629	evm.TU.Ap11.629
evm.model.Ap11.198	evm.TU.Ap11.198
evm.model.Ap11.199	evm.TU.Ap11.199
evm.model.Ap11.192	evm.TU.Ap11.192
evm.model.Ap11.190	evm.TU.Ap11.190
evm.model.Ap11.191	evm.TU.Ap11.191
evm.model.Ap11.196	evm.TU.Ap11.196
evm.model.Ap11.197	evm.TU.Ap11.197
evm.model.Ap11.194	evm.TU.Ap11.194
evm.model.Ap11.1129	evm.TU.Ap11.1129
evm.model.Ap11.1128	evm.TU.Ap11.1128
evm.model.Ap11.1125	evm.TU.Ap11.1125
evm.model.Ap11.1124	evm.TU.Ap11.1124
evm.model.Ap11.1127	evm.TU.Ap11.1127
evm.model.Ap11.1126	evm.TU.Ap11.1126
evm.model.Ap11.1121	evm.TU.Ap11.1121
evm.model.Ap11.1120	evm.TU.Ap11.1120
evm.model.Ap11.1123	evm.TU.Ap11.1123
evm.model.Ap11.1122	evm.TU.Ap11.1122
evm.model.Ap11.124_evm.model.Ap11.120	evm.TU.Ap11.124.evm.TU.Ap11.120
evm.model.Ap11.124_evm.model.Ap11.120.1.5f1685ae	evm.TU.Ap11.124.evm.TU.Ap11.120.1.5f1685ae
evm.model.Ap11.1329	evm.TU.Ap11.1329
evm.model.Ap11.1328	evm.TU.Ap11.1328
evm.model.Ap11.1327	evm.TU.Ap11.1327
evm.model.Ap11.1326	evm.TU.Ap11.1326
evm.model.Ap11.1325	evm.TU.Ap11.1325
evm.model.Ap11.1324	evm.TU.Ap11.1324
evm.model.Ap11.1323	evm.TU.Ap11.1323
evm.model.Ap11.1322	evm.TU.Ap11.1322
evm.model.Ap11.1321	evm.TU.Ap11.1321
evm.model.Ap11.1320	evm.TU.Ap11.1320
evm.model.Ap11.1495	evm.TU.Ap11.1495
evm.model.Ap11.1494	evm.TU.Ap11.1494
evm.model.Ap11.1497.1.5f15de07	evm.TU.Ap11.1497.1.5f15de07
evm.model.Ap11.1497	evm.TU.Ap11.1497
evm.model.Ap11.1496	evm.TU.Ap11.1496
evm.model.Ap11.1491	evm.TU.Ap11.1491
evm.model.Ap11.1490	evm.TU.Ap11.1490
evm.model.Ap11.1493	evm.TU.Ap11.1493
evm.model.Ap11.1492	evm.TU.Ap11.1492
evm.model.Ap11.1499	evm.TU.Ap11.1499
evm.model.Ap11.1498.1.5f15de0a	evm.TU.Ap11.1498.1.5f15de0a
evm.model.Ap11.1498	evm.TU.Ap11.1498
evm.model.Ap11.1868	evm.TU.Ap11.1868
evm.model.Ap11.1869	evm.TU.Ap11.1869
evm.model.Ap11.1864	evm.TU.Ap11.1864
evm.model.Ap11.1865	evm.TU.Ap11.1865
evm.model.Ap11.1866	evm.TU.Ap11.1866
evm.model.Ap11.1867	evm.TU.Ap11.1867
evm.model.Ap11.1860	evm.TU.Ap11.1860
evm.model.Ap11.1861	evm.TU.Ap11.1861
evm.model.Ap11.1862	evm.TU.Ap11.1862
evm.model.Ap11.1863	evm.TU.Ap11.1863
evm.model.Ap11.930	evm.TU.Ap11.930
evm.model.Ap11.931	evm.TU.Ap11.931
evm.model.Ap11.932	evm.TU.Ap11.932
evm.model.Ap11.933	evm.TU.Ap11.933
evm.model.Ap11.934	evm.TU.Ap11.934
evm.model.Ap11.935	evm.TU.Ap11.935
evm.model.Ap11.936	evm.TU.Ap11.936
evm.model.Ap11.937	evm.TU.Ap11.937
evm.model.Ap11.938	evm.TU.Ap11.938
evm.model.Ap11.939	evm.TU.Ap11.939
evm.model.Ap11.1510	evm.TU.Ap11.1510
evm.model.Ap11.1511	evm.TU.Ap11.1511
evm.model.Ap11.1512	evm.TU.Ap11.1512
evm.model.Ap11.1513	evm.TU.Ap11.1513
evm.model.Ap11.1514	evm.TU.Ap11.1514
evm.model.Ap11.1515	evm.TU.Ap11.1515
evm.model.Ap11.1516	evm.TU.Ap11.1516
evm.model.Ap11.1518	evm.TU.Ap11.1518
evm.model.Ap11.1519	evm.TU.Ap11.1519
evm.model.Ap11.208	evm.TU.Ap11.208
evm.model.Ap11.206	evm.TU.Ap11.206
evm.model.Ap11.207	evm.TU.Ap11.207
evm.model.Ap11.204	evm.TU.Ap11.204
evm.model.Ap11.205.1.5f15dbbf	evm.TU.Ap11.205.1.5f15dbbf
evm.model.Ap11.205	evm.TU.Ap11.205
evm.model.Ap11.202	evm.TU.Ap11.202
evm.model.Ap11.203	evm.TU.Ap11.203
evm.model.Ap11.200	evm.TU.Ap11.200
evm.model.Ap11.201	evm.TU.Ap11.201
evm.model.Ap11.761	evm.TU.Ap11.761
evm.model.Ap11.760	evm.TU.Ap11.760
evm.model.Ap11.762	evm.TU.Ap11.762
evm.model.Ap11.765	evm.TU.Ap11.765
evm.model.Ap11.764	evm.TU.Ap11.764
evm.model.Ap11.767	evm.TU.Ap11.767
evm.model.Ap11.1701	evm.TU.Ap11.1701
evm.model.Ap11.1700	evm.TU.Ap11.1700
evm.model.Ap11.1703	evm.TU.Ap11.1703
evm.model.Ap11.1702	evm.TU.Ap11.1702
evm.model.Ap11.1705	evm.TU.Ap11.1705
evm.model.Ap11.1704	evm.TU.Ap11.1704
evm.model.Ap11.1707	evm.TU.Ap11.1707
evm.model.Ap11.1706	evm.TU.Ap11.1706
evm.model.Ap11.1709	evm.TU.Ap11.1709
evm.model.Ap11.1708	evm.TU.Ap11.1708
evm.model.Ap11.1517	evm.TU.Ap11.1517
evm.model.Ap11.209	evm.TU.Ap11.209
evm.model.Ap11.518	evm.TU.Ap11.518
evm.model.Ap11.519	evm.TU.Ap11.519
evm.model.Ap11.516	evm.TU.Ap11.516
evm.model.Ap11.517	evm.TU.Ap11.517
evm.model.Ap11.514	evm.TU.Ap11.514
evm.model.Ap11.515	evm.TU.Ap11.515
evm.model.Ap11.512	evm.TU.Ap11.512
evm.model.Ap11.513	evm.TU.Ap11.513
evm.model.Ap11.510	evm.TU.Ap11.510
evm.model.Ap11.511	evm.TU.Ap11.511
evm.model.Ap11.1619	evm.TU.Ap11.1619
evm.model.Ap11.1618	evm.TU.Ap11.1618
evm.model.Ap11.1617	evm.TU.Ap11.1617
evm.model.Ap11.1616	evm.TU.Ap11.1616
evm.model.Ap11.286	evm.TU.Ap11.286
evm.model.Ap11.287	evm.TU.Ap11.287
evm.model.Ap11.284	evm.TU.Ap11.284
evm.model.Ap11.285	evm.TU.Ap11.285
evm.model.Ap11.282	evm.TU.Ap11.282
evm.model.Ap11.283	evm.TU.Ap11.283
evm.model.Ap11.280	evm.TU.Ap11.280
evm.model.Ap11.281	evm.TU.Ap11.281
evm.model.Ap11.288	evm.TU.Ap11.288
evm.model.Ap11.289	evm.TU.Ap11.289
evm.model.Ap11.1909	evm.TU.Ap11.1909
evm.model.Ap11.1908	evm.TU.Ap11.1908
evm.model.Ap11.1907	evm.TU.Ap11.1907
evm.model.Ap11.1906	evm.TU.Ap11.1906
evm.model.Ap11.1905	evm.TU.Ap11.1905
evm.model.Ap11.1904	evm.TU.Ap11.1904
evm.model.Ap11.1903	evm.TU.Ap11.1903
evm.model.Ap11.1902	evm.TU.Ap11.1902
evm.model.Ap11.1902.1.5f15df62	evm.TU.Ap11.1902.1.5f15df62
evm.model.Ap11.1901	evm.TU.Ap11.1901
evm.model.Ap11.1900	evm.TU.Ap11.1900
evm.model.Ap11.1011	evm.TU.Ap11.1011
evm.model.Ap11.1010	evm.TU.Ap11.1010
evm.model.Ap11.1013	evm.TU.Ap11.1013
evm.model.Ap11.1012	evm.TU.Ap11.1012
evm.model.Ap11.1015	evm.TU.Ap11.1015
evm.model.Ap11.1014	evm.TU.Ap11.1014
evm.model.Ap11.1017	evm.TU.Ap11.1017
evm.model.Ap11.1016	evm.TU.Ap11.1016
evm.model.Ap11.1019	evm.TU.Ap11.1019
evm.model.Ap11.1018	evm.TU.Ap11.1018
evm.model.Ap11.1253	evm.TU.Ap11.1253
evm.model.Ap11.1252	evm.TU.Ap11.1252
evm.model.Ap11.1251	evm.TU.Ap11.1251
evm.model.Ap11.1250	evm.TU.Ap11.1250
evm.model.Ap11.1257	evm.TU.Ap11.1257
evm.model.Ap11.1256	evm.TU.Ap11.1256
evm.model.Ap11.1255	evm.TU.Ap11.1255
evm.model.Ap11.1254	evm.TU.Ap11.1254
evm.model.Ap11.1259	evm.TU.Ap11.1259
evm.model.Ap11.1258	evm.TU.Ap11.1258
evm.model.Ap11.1785	evm.TU.Ap11.1785
evm.model.Ap11.1784	evm.TU.Ap11.1784
evm.model.Ap11.1786	evm.TU.Ap11.1786
evm.model.Ap11.129	evm.TU.Ap11.129
evm.model.Ap11.128	evm.TU.Ap11.128
evm.model.Ap11.123	evm.TU.Ap11.123
evm.model.Ap11.122	evm.TU.Ap11.122
evm.model.Ap11.121	evm.TU.Ap11.121
evm.model.Ap11.127	evm.TU.Ap11.127
evm.model.Ap11.126	evm.TU.Ap11.126
evm.model.Ap11.125	evm.TU.Ap11.125
evm.model.Ap11.435	evm.TU.Ap11.435
evm.model.Ap11.828	evm.TU.Ap11.828
evm.model.Ap11.829	evm.TU.Ap11.829
evm.model.Ap11.826	evm.TU.Ap11.826
evm.model.Ap11.827	evm.TU.Ap11.827
evm.model.Ap11.824	evm.TU.Ap11.824
evm.model.Ap11.825	evm.TU.Ap11.825
evm.model.Ap11.822	evm.TU.Ap11.822
evm.model.Ap11.823	evm.TU.Ap11.823
evm.model.Ap11.820	evm.TU.Ap11.820
evm.model.Ap11.821	evm.TU.Ap11.821
evm.model.Ap11.437	evm.TU.Ap11.437
evm.model.Ap11.436	evm.TU.Ap11.436
evm.model.Ap11.431	evm.TU.Ap11.431
evm.model.Ap11.430	evm.TU.Ap11.430
evm.model.Ap11.433	evm.TU.Ap11.433
evm.model.Ap11.90	evm.TU.Ap11.90
evm.model.Ap11.91	evm.TU.Ap11.91
evm.model.Ap11.92	evm.TU.Ap11.92
evm.model.Ap11.93	evm.TU.Ap11.93
evm.model.Ap11.94	evm.TU.Ap11.94
evm.model.Ap11.95	evm.TU.Ap11.95
evm.model.Ap11.96	evm.TU.Ap11.96
evm.model.Ap11.97	evm.TU.Ap11.97
evm.model.Ap11.1424	evm.TU.Ap11.1424
