Protein_ID,Fishers_oculina
evm.model.Ap11.1191,0
evm.model.Ap11.1192,0
evm.model.Ap11.1193,0
evm.model.Ap11.1738,0
evm.model.Ap11.1739,0
evm.model.Ap11.1732,0
evm.model.Ap11.1733,0
evm.model.Ap11.1734,0
evm.model.Ap11.1735,0
evm.model.Ap11.1736,0
evm.model.Ap11.1737,0
evm.model.Ap11.1751,0
evm.model.Ap11.246,0
evm.model.Ap11.247,0
evm.model.Ap11.244,0
evm.model.Ap11.245,0
evm.model.Ap11.527,0
evm.model.Ap11.526,0
evm.model.Ap11.525,0
evm.model.Ap11.524,0
evm.model.Ap11.523,0
evm.model.Ap11.522,0
evm.model.Ap11.521,0
evm.model.Ap11.520,0
evm.model.Ap11.529,0
evm.model.Ap11.528,0
evm.model.Ap11.444,0
evm.model.Ap11.447,0
evm.model.Ap11.440,0
evm.model.Ap11.441,0
evm.model.Ap11.442,0
evm.model.Ap11.443,0
evm.model.Ap11.448,0
evm.model.Ap11.449,0
evm.model.Ap11.1549,0
evm.model.Ap11.1548,0
evm.model.Ap11.1547,0
evm.model.Ap11.1546,0
evm.model.Ap11.1544,0
evm.model.Ap11.1543,0
evm.model.Ap11.1542,0
evm.model.Ap11.1541,0
evm.model.Ap11.1540,0
evm.model.Ap11.1028,0
evm.model.Ap11.1029,0
evm.model.Ap11.1020,0
evm.model.Ap11.1021,0
evm.model.Ap11.1022,0
evm.model.Ap11.1023,0
evm.model.Ap11.1023.1.5f15dce0,0
evm.model.Ap11.1024,0
evm.model.Ap11.1025,0
evm.model.Ap11.1026,0
evm.model.Ap11.1027,0
evm.model.Ap11.174,0
evm.model.Ap11.175,0
evm.model.Ap11.176,0
evm.model.Ap11.170,0
evm.model.Ap11.171,0
evm.model.Ap11.172,0
evm.model.Ap11.173,0
evm.model.Ap11.178,0
evm.model.Ap11.817.1.5f15dc67,0
evm.model.Ap11.817,0
evm.model.Ap11.816,0
evm.model.Ap11.815,0
evm.model.Ap11.814,0
evm.model.Ap11.813,0
evm.model.Ap11.812.1.5f15dc65,0
evm.model.Ap11.812,0
evm.model.Ap11.811,0
evm.model.Ap11.810,0
evm.model.Ap11.819,0
evm.model.Ap11.818,0
evm.model.Ap11.1667_evm.model.Ap11.1672,0
evm.model.Ap11.422,0
evm.model.Ap11.423,0
evm.model.Ap11.421,0
evm.model.Ap11.61,0
evm.model.Ap11.60,0
evm.model.Ap11.63,0
evm.model.Ap11.1479,0
evm.model.Ap11.1478,0
evm.model.Ap11.1473.2.5f15ddfb,0
evm.model.Ap11.1473.1.5f15ddfa,0
evm.model.Ap11.1473,0
evm.model.Ap11.65,0
evm.model.Ap11.1471,0
evm.model.Ap11.1470,0
evm.model.Ap11.1470.1.5f15ddf6,0
evm.model.Ap11.426,0
evm.model.Ap11.1476,0
evm.model.Ap11.1475,0
evm.model.Ap11.64,0
evm.model.Ap11.424,0
evm.model.Ap11.25,0
evm.model.Ap11.24,0
evm.model.Ap11.27,0
evm.model.Ap11.26,0
evm.model.Ap11.21,0
evm.model.Ap11.20,0
evm.model.Ap11.23,0
evm.model.Ap11.22,0
evm.model.Ap11.29,0
evm.model.Ap11.28,0
evm.model.Ap11.545,0
evm.model.Ap11.544,0
evm.model.Ap11.547,0
evm.model.Ap11.546,0
evm.model.Ap11.541,0
evm.model.Ap11.540,0
evm.model.Ap11.543,0
evm.model.Ap11.729,0
evm.model.Ap11.728,0
evm.model.Ap11.725,0
