ASV_ID	A5	A6	B6	D5	F4	F5	G4	G5	H4	H5
ASV617	0	0	0	0	0	0	23	0	4	0
ASV618	0	0	0	0	0	0	0	0	0	30
ASV619	0	0	0	0	0	0	0	0	0	26
ASV620	0	0	0	0	0	0	0	0	0	25
ASV621	13	0	0	0	0	0	0	0	0	0
ASV622	19	0	0	0	0	0	0	0	0	0
ASV623	13	0	0	0	0	0	0	0	0	0
ASV624	15	0	0	0	0	0	0	0	0	0
ASV625	12	0	0	0	0	0	0	0	0	0
ASV626	9	0	0	0	0	0	0	0	0	0
ASV627	16	0	0	0	0	0	0	0	0	0
ASV628	6	0	0	0	0	0	0	0	9	0
ASV629	0	15	0	0	0	0	0	0	0	0
ASV630	0	11	0	0	0	0	0	0	0	0
ASV631	0	0	31	0	0	0	0	0	0	0
ASV633	0	0	0	0	25	0	0	0	0	0
ASV634	0	0	0	0	16	0	0	0	0	0
ASV635	0	0	0	0	23	0	0	0	0	0
ASV636	0	0	0	0	0	0	20	0	0	0
ASV637	0	0	0	0	0	0	19	0	0	0
ASV638	0	0	0	0	0	0	27	0	0	0
ASV639	0	0	0	0	0	0	0	0	12	3
ASV640	0	0	0	0	0	0	0	0	0	27
ASV641	0	0	0	0	0	0	0	0	0	27
ASV642	15	0	0	0	0	0	0	0	0	0
ASV643	10	0	0	0	0	0	0	0	0	0
ASV644	7	0	0	0	0	0	0	0	0	0
ASV645	14	0	0	0	0	0	0	0	0	0
ASV646	15	0	0	0	0	0	0	0	0	0
ASV647	0	11	0	0	0	0	0	0	0	0
ASV648	0	7	0	0	0	0	0	0	0	0
ASV650	0	12	0	0	0	0	0	0	6	0
ASV651	0	0	30	0	0	0	0	0	0	0
ASV653	0	0	30	0	0	0	0	0	0	0
ASV657	0	0	0	0	0	0	0	0	22	0
ASV658	0	0	0	0	0	0	0	0	0	27
ASV659	10	0	0	0	0	0	0	0	0	0
ASV660	11	2	0	0	0	0	0	0	0	0
ASV661	10	0	0	0	0	0	0	0	0	8
ASV662	0	10	0	0	0	0	0	0	0	0
ASV663	0	15	0	0	0	0	0	0	0	0
ASV664	0	10	0	0	0	0	0	0	0	0
ASV665	0	13	0	0	0	0	0	0	0	0
ASV667	0	0	29	0	0	0	0	0	0	0
ASV668	0	0	29	0	0	0	0	0	0	0
ASV669	0	0	29	0	0	0	0	0	0	0
ASV672	0	0	0	0	0	0	0	2	0	0
ASV673	0	0	0	0	0	0	0	5	0	0
ASV674	0	0	0	0	0	0	0	0	19	0
ASV675	0	0	0	0	0	0	0	0	0	25
ASV676	13	0	0	0	0	0	0	0	0	0
ASV677	9	0	0	0	0	0	0	0	0	0
ASV678	12	0	0	0	0	0	0	0	0	0
ASV679	0	15	0	0	0	0	0	0	0	0
ASV680	0	13	0	0	0	0	0	0	0	0
ASV681	0	0	28	0	0	0	0	0	0	0
ASV682	0	0	0	11	0	9	0	0	0	0
ASV683	0	0	0	0	27	0	0	0	0	0
ASV684	0	0	0	0	22	0	0	0	0	0
ASV685	0	0	0	0	0	0	21	0	0	0
ASV687	0	0	0	0	0	0	22	0	0	0
ASV688	0	0	0	0	0	0	9	0	0	11
ASV689	0	0	0	0	0	0	0	2	0	0
ASV690	15	0	0	0	0	0	0	0	0	0
ASV691	9	0	0	0	0	0	0	0	0	0
ASV692	9	0	0	0	0	0	0	0	0	0
ASV693	0	12	0	0	0	0	0	0	0	0
ASV694	0	0	27	0	0	0	0	0	0	0
ASV695	0	0	0	8	0	9	0	0	0	0
ASV698	0	0	0	0	21	0	0	0	0	0
ASV699	0	0	0	0	0	0	18	0	0	0
ASV700	0	0	0	0	0	0	0	5	0	0
ASV701	0	0	0	0	0	0	0	2	0	0
ASV702	0	0	0	0	0	0	0	0	18	0
ASV704	0	0	0	0	0	0	0	0	0	24
ASV705	9	0	0	0	0	0	0	0	0	0
ASV706	0	13	0	0	0	0	0	0	0	0
ASV707	0	11	0	0	0	0	0	0	0	0
